---------------------------------------- 
Reaction: e+N(D0)->e+N2(D0)               
Type: Ground/MomXfer            
Delta(eV): 0.00           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C1    N    Elastic                  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C12   N    Excitation    12.14 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.2399E-26
1.371	0.2280E-25
1.420	0.1812E-24
1.476	0.1186E-23
1.537	0.6650E-23
1.606	0.3209E-22
1.685	0.1355E-21
1.774	0.5078E-21
1.877	0.1711E-20
1.997	0.5162E-20
2.137	0.1406E-19
2.301	0.3507E-19
2.492	0.8041E-19
2.715	0.1690E-18
2.971	0.3277E-18
3.261	0.5912E-18
3.584	0.9982E-18
3.938	0.1573E-17
4.320	0.2356E-17
4.730	0.3369E-17
5.163	0.4589E-17
5.616	0.5996E-17
6.098	0.7625E-17
6.603	0.9390E-17
7.137	0.1128E-16
7.705	0.1325E-16
8.311	0.1527E-16
8.960	0.1729E-16
9.662	0.1930E-16
10.43	0.2126E-16
11.26	0.2312E-16
12.17	0.2488E-16
13.17	0.2648E-16
14.29	0.2792E-16
15.52	0.2915E-16
16.89	0.3019E-16
18.42	0.3098E-16
20.13	0.3153E-16
22.06	0.3184E-16
24.24	0.3188E-16
26.69	0.3169E-16
29.50	0.3124E-16
32.68	0.3057E-16
36.33	0.2969E-16
40.53	0.2861E-16
45.41	0.2737E-16
51.12	0.2598E-16
57.85	0.2447E-16
65.86	0.2287E-16
75.48	0.2120E-16
87.15	0.1951E-16
101.6	0.1778E-16
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_1D_3s_2De)
Type: Excitation
Delta(eV): 12.37
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C13   N    Excitation    12.37 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.2600E-27
1.371	0.2560E-26
1.420	0.2134E-25
1.476	0.1449E-24
1.537	0.8419E-24
1.606	0.4207E-23
1.685	0.1840E-22
1.774	0.7136E-22
1.877	0.2491E-21
1.997	0.7784E-21
2.137	0.2198E-20
2.301	0.5686E-20
2.492	0.1353E-19
2.715	0.2950E-19
2.971	0.5941E-19
3.261	0.1113E-18
3.584	0.1952E-18
3.938	0.3195E-18
4.320	0.4968E-18
4.730	0.7377E-18
5.163	0.1043E-17
5.616	0.1414E-17
6.098	0.1865E-17
6.603	0.2382E-17
7.137	0.2964E-17
7.705	0.3607E-17
8.311	0.4301E-17
8.960	0.5038E-17
9.662	0.5809E-17
10.43	0.6605E-17
11.26	0.7410E-17
12.17	0.8213E-17
13.17	0.8997E-17
14.29	0.9752E-17
15.52	0.1045E-16
16.89	0.1110E-16
18.42	0.1167E-16
20.13	0.1214E-16
22.06	0.1252E-16
24.24	0.1278E-16
26.69	0.1293E-16
29.50	0.1296E-16
32.68	0.1287E-16
36.33	0.1267E-16
40.53	0.1236E-16
45.41	0.1195E-16
51.12	0.1145E-16
57.85	0.1087E-16
65.86	0.1022E-16
75.48	0.9528E-17
87.15	0.8802E-17
101.6	0.8046E-17
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_4s_4Pe)
Type: Excitation
Delta(eV): 12.85
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C14   N    Excitation    12.85 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.9848E-27
1.371	0.1071E-25
1.420	0.1033E-24
1.476	0.7678E-24
1.537	0.4850E-23
1.606	0.2611E-22
1.685	0.1223E-21
1.774	0.5045E-21
1.877	0.1863E-20
1.997	0.6130E-20
2.137	0.1815E-19
2.301	0.4904E-19
2.492	0.1215E-18
2.715	0.2753E-18
2.971	0.5747E-18
3.261	0.1115E-17
3.584	0.2022E-17
3.938	0.3422E-17
4.320	0.5497E-17
4.730	0.8434E-17
5.163	0.1233E-16
5.616	0.1728E-16
6.098	0.2359E-16
6.603	0.3119E-16
7.137	0.4027E-16
7.705	0.5089E-16
8.311	0.6317E-16
8.960	0.7716E-16
9.662	0.9304E-16
10.43	0.1109E-15
11.26	0.1309E-15
12.17	0.1532E-15
13.17	0.1779E-15
14.29	0.2053E-15
15.52	0.2353E-15
16.89	0.2684E-15
18.42	0.3045E-15
20.13	0.3437E-15
22.06	0.3863E-15
24.24	0.4323E-15
26.69	0.4814E-15
29.50	0.5343E-15
32.68	0.5897E-15
